,row_no,FIPS,date,rainfall,county_name
135,135,26001,2011-04-01,182.03333333333333,Alcona
136,136,26001,2011-05-01,82.26666666666667,Alcona
137,137,26001,2011-06-01,98.1,Alcona
138,138,26001,2011-07-01,48.73333333333333,Alcona
139,139,26001,2011-08-01,81.46666666666667,Alcona
140,140,26001,2011-09-01,98.13333333333333,Alcona
141,141,26001,2011-10-01,139.29999999999998,Alcona
142,142,26001,2011-11-01,59.6,Alcona
143,143,26001,2011-12-01,27.3,Alcona
144,144,26001,2012-01-01,37.36666666666667,Alcona
145,145,26001,2012-02-01,24.03333333333333,Alcona
146,146,26001,2012-03-01,72.33333333333333,Alcona
147,147,26001,2012-04-01,31.73333333333333,Alcona
148,148,26001,2012-05-01,75.53333333333333,Alcona
149,149,26001,2012-06-01,68.33333333333333,Alcona
150,150,26001,2012-07-01,25.55,Alcona
151,151,26001,2012-08-01,97.95,Alcona
152,152,26001,2012-09-01,49.2,Alcona
153,153,26001,2012-10-01,120.8,Alcona
154,154,26001,2012-11-01,8.200000000000001,Alcona
155,155,26001,2012-12-01,71.10000000000001,Alcona
156,156,26001,2013-01-01,71.3,Alcona
157,157,26001,2013-02-01,40.15,Alcona
158,158,26001,2013-03-01,27.3,Alcona
159,159,26001,2013-04-01,145.45,Alcona
160,160,26001,2013-05-01,115.55,Alcona
161,161,26001,2013-06-01,42.5,Alcona
162,162,26001,2013-07-01,111.6,Alcona
163,163,26001,2013-08-01,28.825000000000003,Alcona
164,164,26001,2013-09-01,40.96666666666667,Alcona
165,165,26001,2013-10-01,82.56666666666666,Alcona
166,166,26001,2013-11-01,60.86666666666667,Alcona
167,167,26001,2013-12-01,34.0,Alcona
168,168,26001,2014-01-01,26.35,Alcona
169,169,26001,2014-02-01,25.4,Alcona
170,170,26001,2014-03-01,20.200000000000003,Alcona
171,171,26001,2014-04-01,126.9,Alcona
172,172,26001,2014-05-01,74.23333333333333,Alcona
173,173,26001,2014-06-01,57.333333333333336,Alcona
174,174,26001,2014-07-01,98.8,Alcona
175,175,26001,2014-08-01,128.5,Alcona
176,176,26001,2014-09-01,81.44999999999999,Alcona
177,177,26001,2014-10-01,62.400000000000006,Alcona
178,178,26001,2014-11-01,56.85,Alcona
179,179,26001,2014-12-01,43.5,Alcona
180,180,26001,2015-01-01,17.05,Alcona
181,181,26001,2015-02-01,7.4,Alcona
182,182,26001,2015-03-01,12.9,Alcona
183,183,26001,2015-04-01,55.6,Alcona
184,184,26001,2015-05-01,90.33333333333331,Alcona
185,185,26001,2015-06-01,102.9,Alcona
186,186,26001,2015-07-01,36.8,Alcona
187,187,26001,2015-08-01,91.75,Alcona
188,188,26001,2015-09-01,69.8,Alcona
189,189,26001,2015-10-01,28.45,Alcona
190,190,26001,2015-11-01,58.75,Alcona
191,191,26001,2015-12-01,57.8,Alcona
192,192,26001,2016-01-01,28.7,Alcona
193,193,26001,2016-02-01,44.55,Alcona
194,194,26001,2016-03-01,88.25,Alcona
195,195,26001,2016-04-01,82.75,Alcona
196,196,26001,2016-05-01,39.55,Alcona
197,197,26001,2016-06-01,47.55,Alcona
198,198,26001,2016-07-01,49.0,Alcona
199,199,26001,2016-08-01,125.75,Alcona
200,200,26001,2016-09-01,68.25,Alcona
